term	corpus_freq	category
גויםג	6	final_midword
גףגב	6	final_midword
דינןא	6	final_midword
דםגג	6	final_midword
דםגד	6	final_midword
הבחוריםב	6	final_midword
ויתןג	6	final_midword
חלםגג	6	final_midword
חףגב	6	final_midword
ךלא	6	final_midword
כףגא	6	final_midword
לשוןגא	6	final_midword
םב	6	final_midword
םפ	6	final_midword
מגויםב	6	final_midword
מושיביןב	6	final_midword
מןא	6	final_midword
ןלכן	6	final_midword
ןמל	6	final_midword
ןע	6	final_midword
נכסימןו	6	final_midword
נכסימןם	6	final_midword
עצמןד	6	final_midword
ףלא	6	final_midword
צףגב	6	final_midword
קודםד	6	final_midword
קנייןו	6	final_midword
רךא	6	final_midword
רךה	6	final_midword
שםם	6	final_midword
אאללההייםם	5	final_midword
אותןב	5	final_midword
אחריםא	5	final_midword
אינםב	5	final_midword
אלהךיהב	5	final_midword
אםגה	5	final_midword
בבבב	5	repeat_letter
בכךא	5	final_midword
בםפ	5	final_midword
בםפר	5	final_midword
במתניתיןג	5	final_midword
בראשוןה	5	final_midword
בראשוןז	5	final_midword
דיןא	5	final_midword
דרבנןג	5	final_midword
הבעליםח	5	final_midword
הםד	5	final_midword
העדיםב	5	final_midword
הפסוליןה	5	final_midword
התןס	5	final_midword
וביסוריןג	5	final_midword
וביסוריןד	5	final_midword
והוסימןף	5	final_midword
וךב	5	final_midword
חכמיםא	5	final_midword
טלףגא	5	final_midword
טףגא	5	final_midword
יוניםו	5	final_midword
יסימןתהו	5	final_midword
יראתםו	5	final_midword
כולםא	5	final_midword
כלאיםא	5	final_midword
כףגב	5	final_midword
כשריםב	5	final_midword
לארץט	5	final_midword
לפיןוחמ	5	final_midword
לשםג	5	final_midword
םת	5	final_midword
מאמיניןיב	5	final_midword
מליןט	5	final_midword
מןמ	5	final_midword
מסימןבת	5	final_midword
מפקדךי	5	final_midword
מרבנןט	5	final_midword
ןב	5	final_midword
ןיהי	5	final_midword
ןלמע	5	final_midword
ןמה	5	final_midword
ןעבדין	5	final_midword
ןעד	5	final_midword
נףגא	5	final_midword
סימןפר	5	final_midword
סךו	5	final_midword
סףגא	5	final_midword
עןגו	5	final_midword
ףית	5	final_midword
פךא	5	final_midword
פסוליןח	5	final_midword
צץגג	5	final_midword
צריךיא	5	final_midword
קאסימןב	5	final_midword
קדםמל	5	final_midword
קיםעלם	5	final_midword
קןגב	5	final_midword
קןדם	5	final_midword
שאףי	5	final_midword
שךה	5	final_midword
שןגג	5	final_midword
שףגטו	5	final_midword
תךא	5	final_midword
תרךב	5	final_midword
תרףגב	5	final_midword
bדה	4	mixed
אגןגב	4	final_midword
אדםו	4	final_midword
אךגא	4	final_midword
אלהיםהא	4	final_midword
אלהךלמטר	4	final_midword
אמןגא	4	final_midword
אסימןפא	4	final_midword
אשןגא	4	final_midword
בגירושיןא	4	final_midword
בדיןא	4	final_midword
בהןא	4	final_midword
בלםגא	4	final_midword
במיםא	4	final_midword
בנדריםא	4	final_midword
בסימןפא	4	final_midword
בפניםא	4	final_midword
בץגא	4	final_midword
בץגב	4	final_midword
בציןגא	4	final_midword
גויםא	4	final_midword
גלףגא	4	final_midword
גרףגא	4	final_midword
דבריםלב	4	final_midword
דדדד	4	repeat_letter
דךב	4	final_midword
דןגא	4	final_midword
דרבנןב	4	final_midword
הדיןא	4	final_midword
הוסימןפו	4	final_midword
היוםה	4	final_midword
הךד	4	final_midword
המסימןרה	4	final_midword
הןא	4	final_midword
העולםב	4	final_midword
ואםלא	4	final_midword
ויגדךא	4	final_midword
וךג	4	final_midword
ומלמדןא	4	final_midword
וניחםא	4	final_midword
וסימןדר	4	final_midword
טםגב	4	final_midword
יןו	4	final_midword
ךכ	4	final_midword
ךמ	4	final_midword
כהניםג	4	final_midword
כיוןן	4	final_midword
כלוםט	4	final_midword
כןגג	4	final_midword
כסףא	4	final_midword
כףגו	4	final_midword
כרםגב	4	final_midword
להפסימןדה	4	final_midword
לךית	4	final_midword
לםי	4	final_midword
לןא	4	final_midword
םח	4	final_midword
םמ	4	final_midword
םן	4	final_midword
םעל	4	final_midword
מברךא	4	final_midword
מקוםג	4	final_midword
מקלסימןן	4	final_midword
ןאין	4	final_midword
ןאנ	4	final_midword
ןד	4	final_midword
ןז	4	final_midword
ןזל	4	final_midword
ןלב	4	final_midword
ןלבית	4	final_midword
ןס	4	final_midword
ןעיב	4	final_midword
ןעיין	4	final_midword
ןצ	4	final_midword
ןצע	4	final_midword
ןק	4	final_midword
ןקדמי	4	final_midword
נאמןג	4	final_midword
נחתםא	4	final_midword
נםגב	4	final_midword
סדןגא	4	final_midword
סימןכתא	4	final_midword
סימןפא	4	final_midword
סךגד	4	final_midword
סךגט	4	final_midword
סךה	4	final_midword
עעע	4	repeat_letter
עףגג	4	final_midword
עקםגא	4	final_midword
עקץגא	4	final_midword
עשןגא	4	final_midword
פטםגב	4	final_midword
פןגא	4	final_midword
פןגג	4	final_midword
פסימןדא	4	final_midword
פףת	4	final_midword
פרךגא	4	final_midword
צונןא	4	final_midword
ציציןוקלפין	4	final_midword
צףגז	4	final_midword
קדםמ	4	final_midword
קןגד	4	final_midword
קףגב	4	final_midword
קץגד	4	final_midword
קרםגא	4	final_midword
רךד	4	final_midword
רמץגא	4	final_midword
שהוסימןף	4	final_midword
שהפסימןדו	4	final_midword
שךו	4	final_midword
שךט	4	final_midword
שלףגב	4	final_midword
שםג	4	final_midword
שםה	4	final_midword
שןגא	4	final_midword
שןגד	4	final_midword
תוסימןף	4	final_midword
תךגב	4	final_midword
תםא	4	final_midword
hוסי	3	mixed
rשא	3	mixed
אאאאאאאא	3	repeat_letter
אגןגא	3	final_midword
אחרוניםיב	3	final_midword
איבריםד	3	final_midword
איןגא	3	final_midword
אירוסימןן	3	final_midword
אלהךל	3	final_midword
אלהךלך	3	final_midword
אםהי	3	final_midword
אםור	3	final_midword
אםחרותא	3	final_midword
אםיש	3	final_midword
אמןד	3	final_midword
אןגב	3	final_midword
אףכאן	3	final_midword
אפיקומןד	3	final_midword
בגירושיןב	3	final_midword
בחמיןטו	3	final_midword
בךא	3	final_midword
בךט	3	final_midword
בכםף	3	final_midword
במסימןרת	3	final_midword
בןגד	3	final_midword
בנימןאבידן	3	final_midword
בסןף	3	final_midword
בעוףא	3	final_midword
בקדושברוךהוא	3	final_midword
ברוךהוא	3	final_midword
ברוךח	3	final_midword
גהץגא	3	final_midword
גםגב	3	final_midword
גףגא	3	final_midword
גףגט	3	final_midword
גרםגא	3	final_midword
דאחריםב	3	final_midword
דבריםי	3	final_midword
דגיטיןב	3	final_midword
דיבםא	3	final_midword
דךג	3	final_midword
דםגא	3	final_midword
דםגב	3	final_midword
דנןאמר	3	final_midword
דסימןפא	3	final_midword
דפסימןקא	3	final_midword
דרךט	3	final_midword
דתןואבירם	3	final_midword
האביוןא	3	final_midword
האירוסימןן	3	final_midword
האליןו	3	final_midword
הבןג	3	final_midword
הגויםב	3	final_midword
הכםף	3	final_midword
המסימןת	3	final_midword
הןד	3	final_midword
הנכסימןם	3	final_midword
העולםא	3	final_midword
העוףעולת	3	final_midword
הפסימןדו	3	final_midword
הצפורןד	3	final_midword
הרןואמר	3	final_midword
הרןוח	3	final_midword
השלחיןא	3	final_midword
השםב	3	final_midword
ואחf	3	mixed
ואילךב	3	final_midword
ואםלאו	3	final_midword
וךא	3	final_midword
וךה	3	final_midword
וכןהביאמרים	3	final_midword
ולחןמ	3	final_midword
וםל	3	final_midword
וסימןדרו	3	final_midword
זבולןאלי	3	final_midword
חוליןב	3	final_midword
חוץלפרק	3	final_midword
חוצץד	3	final_midword
חלביםה	3	final_midword
חלףגג	3	final_midword
חלףדי	3	final_midword
חלץגא	3	final_midword
חץגב	3	final_midword
חרםגא	3	final_midword
חרףגב	3	final_midword
חרףגג	3	final_midword
טרףגא	3	final_midword
טרףגה	3	final_midword
ידיםיג	3	final_midword
יוםא	3	final_midword
יוםב	3	final_midword
יייי	3	repeat_letter
יךעל	3	final_midword
יןמ	3	final_midword
יןמימרי	3	final_midword
ךדח	3	final_midword
כאןא	3	final_midword
כיוןדלא	3	final_midword
כמוךג	3	final_midword
כןגא	3	final_midword
כנףגא	3	final_midword
כסףגג	3	final_midword
כףגה	3	final_midword
לארץא	3	final_midword
לבניםא	3	final_midword
להסימןר	3	final_midword
להשבוןא	3	final_midword
לזייןב	3	final_midword
לחכםב	3	final_midword
לךא	3	final_midword
לךב	3	final_midword
לךולא	3	final_midword
לסימןיע	3	final_midword
לעולםא	3	final_midword
לפיןו	3	final_midword
לקדושברוךהוא	3	final_midword
לקדםיי	3	final_midword
לקמןא	3	final_midword
לרחמיןבעיני	3	final_midword
לרעךא	3	final_midword
םם	3	final_midword
םןץףך	3	final_midword
םקדם	3	final_midword
םרה	3	final_midword
מאןדמ	3	final_midword
מיםיב	3	final_midword
מךב	3	final_midword
מךג	3	final_midword
מךה	3	final_midword
מכסימןם	3	final_midword
מןחקלא	3	final_midword
מןלמירת	3	final_midword
מןמיא	3	final_midword
מןע	3	final_midword
מנכסימןם	3	final_midword
מסאביןאנ	3	final_midword
מסימןיעים	3	final_midword
מסימןר	3	final_midword
מסימןתו	3	final_midword
מפורסימןם	3	final_midword
מפשתןז	3	final_midword
ןאנא	3	final_midword
ןואמר	3	final_midword
ןואנא	3	final_midword
ןויתיב	3	final_midword
ןוס	3	final_midword
ןות	3	final_midword
ןחמ	3	final_midword
ןיתה	3	final_midword
ןיתי	3	final_midword
ןלאלהא	3	final_midword
ןלד	3	final_midword
ןלמימר	3	final_midword
ןלנא	3	final_midword
ןמנ	3	final_midword
ןנ	3	final_midword
ןקימא	3	final_midword
נוטפיםא	3	final_midword
ניןוא	3	final_midword
נםגג	3	final_midword
נעסימןא	3	final_midword
נקייםא	3	final_midword
סדןגג	3	final_midword
סיםרא	3	final_midword
סימןגש	3	final_midword
סימןוע	3	final_midword
סיפןר	3	final_midword
סךא	3	final_midword
סךגה	3	final_midword
סךד	3	final_midword
סךט	3	final_midword
סלעיןהיא	3	final_midword
סףע	3	final_midword
עכk	3	mixed
עצביםז	3	final_midword
ףה	3	final_midword
ףר	3	final_midword
פגםגג	3	final_midword
פךג	3	final_midword
פלךגא	3	final_midword
פניםז	3	final_midword
פנךגא	3	final_midword
פסוליןט	3	final_midword
צחןגב	3	final_midword
צףגא	3	final_midword
צריךם	3	final_midword
צרףגו	3	final_midword
קu	3	mixed
קדםאל	3	final_midword
קדםאלהא	3	final_midword
קודםי	3	final_midword
קטןגא	3	final_midword
קמץגה	3	final_midword
קןגג	3	final_midword
קףגא	3	final_midword
קפץגא	3	final_midword
קפץגג	3	final_midword
קצםה	3	final_midword
קרןגג	3	final_midword
רביםב	3	final_midword
רחמיןקדמך	3	final_midword
רחןדתקנן	3	final_midword
ריןל	3	final_midword
רךו	3	final_midword
רקםגב	3	final_midword
רשh	3	mixed
שאיןי	3	final_midword
שבחוץג	3	final_midword
שחןגא	3	final_midword
שםגא	3	final_midword
שמותריןו	3	final_midword
שמסימןים	3	final_midword
שמסימןתים	3	final_midword
שןגב	3	final_midword
שניםא	3	final_midword
שסימןים	3	final_midword
שףגב	3	final_midword
שףגה	3	final_midword
שףגי	3	final_midword
שץגא	3	final_midword
שרףגא	3	final_midword
שתיהןח	3	final_midword
שתיםח	3	final_midword
שתיםט	3	final_midword
תהליםלד	3	final_midword
תהליםקמז	3	final_midword
תךגא	3	final_midword
תךד	3	final_midword
תםגג	3	final_midword
תןגא	3	final_midword
תקךז	3	final_midword
תקךט	3	final_midword
תרנגוליםג	3	final_midword
kדעת	2	mixed
אאאאאאאאא	2	repeat_letter
אבלםי	2	final_midword
אבןטבא	2	final_midword
אברםה	2	final_midword
אגףגא	2	final_midword
אגףגב	2	final_midword
אדומיםז	2	final_midword
אהךן	2	final_midword
אונןהאונן	2	final_midword
אוסימןף	2	final_midword
אותםם	2	final_midword
אותןד	2	final_midword
אחריםים	2	final_midword
איןחיוב	2	final_midword
איןמביאין	2	final_midword
אלהךארי	2	final_midword
אלהךדי	2	final_midword
אלהךה	2	final_midword
אלהךלא	2	final_midword
אלהןל	2	final_midword
אלםגא	2	final_midword
אםא	2	final_midword
אםאינו	2	final_midword
אםל	2	final_midword
אמץגב	2	final_midword
אמרינןבסנהדרין	2	final_midword
אןגא	2	final_midword
אןגג	2	final_midword
אןתו	2	final_midword
אסוריןב	2	final_midword
אףעל	2	final_midword
ארךגג	2	final_midword
ארםגא	2	final_midword
אתןלותי	2	final_midword
באוןפ	2	final_midword
בגוףמלאכות	2	final_midword
ביבםה	2	final_midword
בידםג	2	final_midword
ביוםה	2	final_midword
ביןגב	2	final_midword
בךז	2	final_midword
בכךט	2	final_midword
בםה	2	final_midword
בםק	2	final_midword
בסימןים	2	final_midword
בסימןני	2	final_midword
בסימןקרא	2	final_midword
בסךח	2	final_midword
בסםגב	2	final_midword
בעיןד	2	final_midword
בעיןה	2	final_midword
בעיןח	2	final_midword
בפךא	2	final_midword
בפםוק	2	final_midword
בפסימןעה	2	final_midword
בפסימןקתא	2	final_midword
בציםב	2	final_midword
ברהםאב	2	final_midword
ברהםו	2	final_midword
ברהםל	2	final_midword
ברהםקדם	2	final_midword
ברךגד	2	final_midword
ברךגה	2	final_midword
ברךיי	2	final_midword
ברןגב	2	final_midword
ברץגא	2	final_midword
בתןך	2	final_midword
גבןגב	2	final_midword
גדוליםא	2	final_midword
גדףגב	2	final_midword
גידםגידם	2	final_midword
גםא	2	final_midword
גםגג	2	final_midword
גםגד	2	final_midword
גןגא	2	final_midword
גנןגב	2	final_midword
גףגו	2	final_midword
גרםגב	2	final_midword
גרםגד	2	final_midword
גרסימןנן	2	final_midword
דאמרינןבירושלמי	2	final_midword
דאףאם	2	final_midword
דבריםד	2	final_midword
דבריםל	2	final_midword
דבריםלג	2	final_midword
דגיםיג	2	final_midword
דהפסימןדו	2	final_midword
דומסימןא	2	final_midword
דורסימןן	2	final_midword
דיןאם	2	final_midword
דיריןהוית	2	final_midword
דךבב	2	final_midword
דךגא	2	final_midword
דךגב	2	final_midword
דךו	2	final_midword
דךז	2	final_midword
דךך	2	final_midword
דכריןחמ	2	final_midword
דםיב	2	final_midword
דמןא	2	final_midword
דמסימןרת	2	final_midword
דמקדשיןג	2	final_midword
דןגב	2	final_midword
דסימןים	2	final_midword
דףיב	2	final_midword
דףנז	2	final_midword
דףף	2	final_midword
דפןגא	2	final_midword
דפןגג	2	final_midword
דץגא	2	final_midword
דרחםלי	2	final_midword
דרךגא	2	final_midword
הlteren	2	mixed
הsefira	2	mixed
הארץא	2	final_midword
הארץץ	2	final_midword
הברייתץא	2	final_midword
הגאוניםא	2	final_midword
הגדןל	2	final_midword
הדיןו	2	final_midword
הדיןחגא	2	final_midword
הדיןי	2	final_midword
הדיןלא	2	final_midword
הדיןמ	2	final_midword
הההה	2	repeat_letter
הזמןכלל	2	final_midword
החוטיןיג	2	final_midword
הימיםב	2	final_midword
הךה	2	final_midword
הלשןן	2	final_midword
הםם	2	final_midword
הסימןח	2	final_midword
הסימןים	2	final_midword
הסימןרו	2	final_midword
הסימןתהו	2	final_midword
הערוךלנר	2	final_midword
הקרןג	2	final_midword
הרביםא	2	final_midword
הרמןגא	2	final_midword
הרןאח	2	final_midword
הרןארים	2	final_midword
הרןועל	2	final_midword
הרןלות	2	final_midword
השינוייםכל	2	final_midword
השםג	2	final_midword
ואילךא	2	final_midword
ואליליםא	2	final_midword
ואםד	2	final_midword
ואםהביא	2	final_midword
ובטליםא	2	final_midword
וגםג	2	final_midword
והמיניםא	2	final_midword
והסימןח	2	final_midword
והפסימןדו	2	final_midword
והרבךא	2	final_midword
וחותםא	2	final_midword
וחלףח	2	final_midword
ויאםף	2	final_midword
ויוסימןפו	2	final_midword
ויםוב	2	final_midword
ויםובו	2	final_midword
ויםע	2	final_midword
ויסימןר	2	final_midword
וישp	2	mixed
וךז	2	final_midword
וךח	2	final_midword
וךט	2	final_midword
וכאןם	2	final_midword
וכיןן	2	final_midword
וכלביםיב	2	final_midword
וכןמשמע	2	final_midword
ולכןם	2	final_midword
וםגי	2	final_midword
ומסימןת	2	final_midword
וןית	2	final_midword
ונמצt	2	mixed
ועייןשם	2	final_midword
ועיןעגלא	2	final_midword
ועןד	2	final_midword
ותקףרוגזא	2	final_midword
זךגא	2	final_midword
זרףגב	2	final_midword
חוטיןטו	2	final_midword
חייםמלאכה	2	final_midword
חייםשי	2	final_midword
חךגה	2	final_midword
חכמיםם	2	final_midword
חלוןגא	2	final_midword
חלףגא	2	final_midword
חלףגב	2	final_midword
חמץגג	2	final_midword
חנךגא	2	final_midword
חסימןד	2	final_midword
חףגג	2	final_midword
חףגד	2	final_midword
חצןגב	2	final_midword
חרםגד	2	final_midword
חרםגה	2	final_midword
חרףגא	2	final_midword
טהוריםג	2	final_midword
טוביםד	2	final_midword
טטט	2	repeat_letter
טיןותחפי	2	final_midword
טעןגא	2	final_midword
טרףגב	2	final_midword
ידךעל	2	final_midword
יהוןחד	2	final_midword
יוחסימןן	2	final_midword
יוםג	2	final_midword
יוםטוב	2	final_midword
יוםף	2	final_midword
יוסימןף	2	final_midword
יזb	2	mixed
יךמן	2	final_midword
יםא	2	final_midword
יםוב	2	final_midword
יםיי	2	final_midword
יםלאבהתך	2	final_midword
יןה	2	final_midword
יןועבד	2	final_midword
יןטב	2	final_midword
יןסטרוהי	2	final_midword
יןעזקן	2	final_midword
יןעם	2	final_midword
יןצ	2	final_midword
יןקדם	2	final_midword
ינךו	2	final_midword
יסימןר	2	final_midword
יסימןת	2	final_midword
יףנהרא	2	final_midword
יקייםא	2	final_midword
יריעןדב	2	final_midword
ישןא	2	final_midword
יתהוןבמיא	2	final_midword
יתכוןוית	2	final_midword
ךארי	2	final_midword
ךדי	2	final_midword
ךהך	2	final_midword
ךוא	2	final_midword
ךוסתה	2	final_midword
ךטא	2	final_midword
ךיה	2	final_midword
ךית	2	final_midword
ךך	2	final_midword
ךמן	2	final_midword
ךסןףץ	2	final_midword
ךעולם	2	final_midword
ךפי	2	final_midword
ךתה	2	final_midword
כגוןן	2	final_midword
כדיןא	2	final_midword
כדםגא	2	final_midword
כהןים	2	final_midword
כוןנת	2	final_midword
כםף	2	final_midword
כמa	2	mixed
כמוךא	2	final_midword
כןגד	2	final_midword
כןגו	2	final_midword
כןהא	2	final_midword
כןם	2	final_midword
כןמ	2	final_midword
כנםי	2	final_midword
כנסימןות	2	final_midword
כנףגב	2	final_midword
כסימןמטא	2	final_midword
כסףב	2	final_midword
כסףגא	2	final_midword
כסףגב	2	final_midword
כעןר	2	final_midword
כףגח	2	final_midword
כףגט	2	final_midword
כפוליןא	2	final_midword
כרךגא	2	final_midword
כרןי	2	final_midword
כתמיםה	2	final_midword
לאבהתךל	2	final_midword
לאבהתךלמ	2	final_midword
לארץיד	2	final_midword
לביןחדא	2	final_midword
לגןף	2	final_midword
להםג	2	final_midword
לחוץא	2	final_midword
לחינוךא	2	final_midword
לחןטעות	2	final_midword
ליורשםי	2	final_midword
ליםד	2	final_midword
לךארי	2	final_midword
לךגב	2	final_midword
לךיי	2	final_midword
לךמ	2	final_midword
לכאןרה	2	final_midword
לכםא	2	final_midword
לכןלי	2	final_midword
לכןף	2	final_midword
ללחוץא	2	final_midword
לםל	2	final_midword
לםלא	2	final_midword
למסימןרה	2	final_midword
לןמר	2	final_midword
לףגא	2	final_midword
לפיןומאתן	2	final_midword
לפעמיםהעושה	2	final_midword
לצוךר	2	final_midword
לקיםעלם	2	final_midword
לקמןג	2	final_midword
לשןן	2	final_midword
לתריןצירוהי	2	final_midword
םאין	2	final_midword
םאנא	2	final_midword
םארי	2	final_midword
םוית	2	final_midword
םועמ	2	final_midword
םוף	2	final_midword
םחד	2	final_midword
םטרא	2	final_midword
םי	2	final_midword
םיסרא	2	final_midword
םמיכל	2	final_midword
םפירות	2	final_midword
םק	2	final_midword
םרק	2	final_midword
מאןדעא	2	final_midword
מאתןוחמ	2	final_midword
מדםא	2	final_midword
מהרםבד	2	final_midword
מודיםא	2	final_midword
מוקדםג	2	final_midword
מותריםב	2	final_midword
מותריןא	2	final_midword
מותריןב	2	final_midword
מיןסגיאין	2	final_midword
מיןעל	2	final_midword
מךגב	2	final_midword
מךגד	2	final_midword
מכנסיןדב	2	final_midword
מכסיפיןב	2	final_midword
מלךרב	2	final_midword
מםה	2	final_midword
מםתברא	2	final_midword
מםתמא	2	final_midword
ממןן	2	final_midword
ממסימןרת	2	final_midword
ממקןם	2	final_midword
מןאנ	2	final_midword
מןגב	2	final_midword
מןגד	2	final_midword
מןדמא	2	final_midword
מןטורא	2	final_midword
מןעל	2	final_midword
מןעלמא	2	final_midword
מןעמא	2	final_midword
מןציאין	2	final_midword
מןק	2	final_midword
מןקדמ	2	final_midword
מןקדמיה	2	final_midword
מסימןדור	2	final_midword
מסימןח	2	final_midword
מסימןים	2	final_midword
מסימןיעין	2	final_midword
מסנךלא	2	final_midword
מעייםי	2	final_midword
מפסיקיןא	2	final_midword
מפקדךלמע	2	final_midword
מציריןבקניא	2	final_midword
מקרעיןא	2	final_midword
מרפסימןן	2	final_midword
מתוםך	2	final_midword
מתחמןעובד	2	final_midword
מתיםב	2	final_midword
מתןגב	2	final_midword
מתןגג	2	final_midword
ןאזלו	2	final_midword
ןאינו	2	final_midword
ןאינם	2	final_midword
ןאמר	2	final_midword
ןגבר	2	final_midword
ןואנ	2	final_midword
ןוח	2	final_midword
ןוט	2	final_midword
ןוי	2	final_midword
ןויה	2	final_midword
ןויהב	2	final_midword
ןויהי	2	final_midword
ןוכל	2	final_midword
ןועל	2	final_midword
ןור	2	final_midword
ןזב	2	final_midword
ןחז	2	final_midword
ןטבתא	2	final_midword
ןיהב	2	final_midword
ןיק	2	final_midword
ןיש	2	final_midword
ןיתהון	2	final_midword
ןכאשר	2	final_midword
ןכיון	2	final_midword
ןכן	2	final_midword
ןלאל	2	final_midword
ןלהון	2	final_midword
ןלהנל	2	final_midword
ןלי	2	final_midword
ןללואי	2	final_midword
ןלמהך	2	final_midword
ןלר	2	final_midword
ןלת	2	final_midword
ןלתמן	2	final_midword
ןמוכח	2	final_midword
ןממ	2	final_midword
ןממסקי	2	final_midword
ןממצר	2	final_midword
ןמנך	2	final_midword
ןמס	2	final_midword
ןמרחק	2	final_midword
ןמת	2	final_midword
ןנראה	2	final_midword
ןעבדו	2	final_midword
ןעברין	2	final_midword
ןעוד	2	final_midword
ןעם	2	final_midword
ןעתה	2	final_midword
ןצדיא	2	final_midword
ןצר	2	final_midword
ןקט	2	final_midword
ןקים	2	final_midword
ןקרבא	2	final_midword
ןש	2	final_midword
נאמןן	2	final_midword
נחa	2	mixed
נכסימןהם	2	final_midword
נםא	2	final_midword
נסימןעתו	2	final_midword
נקיםי	2	final_midword
נקףגא	2	final_midword
נקףגב	2	final_midword
סהa	2	mixed
סוםר	2	final_midword
סחףגג	2	final_midword
סטוסימןא	2	final_midword
סימןא	2	final_midword
סימןבת	2	final_midword
סימןום	2	final_midword
סימןומא	2	final_midword
סימןיעתא	2	final_midword
סימןלק	2	final_midword
סימןני	2	final_midword
סימןפרא	2	final_midword
סימןרקא	2	final_midword
סיףע	2	final_midword
סךגז	2	final_midword
סםגא	2	final_midword
סןגג	2	final_midword
סעיףק	2	final_midword
סףעל	2	final_midword
ספןגב	2	final_midword
סרךגב	2	final_midword
עa	2	mixed
עדיףא	2	final_midword
עדןגב	2	final_midword
עטףגג	2	final_midword
עטףגד	2	final_midword
עיוןז	2	final_midword
עיןיממין	2	final_midword
עיןלילון	2	final_midword
עינךוחזי	2	final_midword
עלוןונכסת	2	final_midword
עליךה	2	final_midword
עלםמן	2	final_midword
עלןג	2	final_midword
עםירמיה	2	final_midword
עםלוי	2	final_midword
עםמל	2	final_midword
עמהםא	2	final_midword
עןגב	2	final_midword
עןד	2	final_midword
עןי	2	final_midword
עןלי	2	final_midword
עסריןד	2	final_midword
עףגא	2	final_midword
עץא	2	final_midword
ערוךלנר	2	final_midword
